city,pop,lat,lon,tz
Sorong - ID,254294,-0.87956,131.261,Asia/Jayapura
Souk Ahras - DZ,153479,36.2864,7.95111,Africa/Algiers
Sousse - TN,221715,35.8254,10.637,Africa/Tunis
South Tangerang - ID,1404785,-6.28862,106.718,Asia/Jakarta
Soweto - ZA,1695047,-26.2678,27.8585,Africa/Johannesburg
Spanish Town - JM,145018,17.9911,-76.9574,America/Jamaica
Split - HR,149830,43.5089,16.4392,Europe/Zagreb
Springfield - US,114394,39.8017,-89.6437,America/Chicago
Srinagar - IN,1206419,34.0857,74.8055,Asia/Kolkata
St. John's - CA,110525,47.5649,-52.7093,America/St_Johns
Stanley - FK,2213,-51.6938,-57.857,Atlantic/Stanley
Stara Zagora - BG,143431,42.432,25.6426,Europe/Sofia
Stavanger - NO,148682,58.9701,5.73332,Europe/Oslo
Stavropol' - RU,433931,45.0344,41.9642,Europe/Moscow
Steinkjer - NO,13060,64.0149,11.4954,Europe/Oslo
Stockholm - SE,1515017,59.3294,18.0687,Europe/Stockholm
Strasbourg - FR,274845,48.5839,7.74553,Europe/Paris
Straseni - MD,19225,47.1422,28.6077,Europe/Chisinau
Struga - MK,37387,41.1779,20.6789,Europe/Skopje
Strumica - MK,33825,41.4376,22.6429,Europe/Skopje
Studenicani - MK,18219,41.9221,21.5348,Europe/Skopje
Stung Treng - KH,25000,13.5259,105.968,Asia/Phnom_Penh
Stuttgart - DE,630305,48.7823,9.17702,Europe/Berlin
Suai - TL,21539,-9.31286,125.256,Asia/Dili
Suceava - RO,84308,47.6333,26.25,Europe/Bucharest
Sucre - BO,224838,-19.0333,-65.2627,America/La_Paz
Suehbaatar - MN,22741,50.2314,106.208,Asia/Ulaanbaatar
Suez - EG,699541,29.9737,32.5263,Africa/Cairo
Suining - CN,656760,30.508,105.573,Asia/Shanghai
Suizhou - CN,618582,31.7111,113.363,Asia/Shanghai
Sukhothai - TH,37000,17.0078,99.823,Asia/Bangkok
Sukkur - PK,563851,27.7032,68.8589,Asia/Karachi
Sumbawanga - TZ,303986,-7.96667,31.6167,Africa/Dar_es_Salaam
Sumbe - AO,205832,-11.206,13.8437,Africa/Luanda
Sumqayit - AZ,358675,40.5897,49.6686,Asia/Baku
Sumy - UA,259660,50.9174,34.7991,Europe/Kyiv
Sunyani - GH,92825,7.33991,-2.32676,Africa/Accra
Suong - KH,30000,11.9118,105.658,Asia/Phnom_Penh
Suphan Buri - TH,53399,14.4742,100.122,Asia/Bangkok
Suqian - CN,1437685,33.9492,118.296,Asia/Shanghai
Sur - OM,71152,22.5667,59.5289,Asia/Muscat
Surabaya - ID,2874314,-7.24917,112.751,Asia/Jakarta
Surat - IN,4591246,21.1959,72.8302,Asia/Kolkata
Surat Thani - TH,132040,9.14011,99.3331,Asia/Bangkok
